ID,Latitude,Longitude,SpSIC (%),Group,IP25,IPSO25,HBI_III,HBI_IV,I,II,III,IV
R973 BX025-1,64.57,5.67,0,Mar,0,0,1.78,1.44,0,0,55.27950311,44.72049689
R1080 BX010 k1,66.21,7,0,Mar,0,0,0.4,0.33,0,0,54.79452055,45.20547945
R1096 MC002 core A,65.95,6.51,0,Mar,0,0,0.57,0.33,0,0,63.33333333,36.66666667
R1096 MC002 core D,65.95,6.51,0,Mar,0,0,0.51,0.32,0,0,61.44578313,38.55421687
R1114 MC003 k2,65.63,5.57,0,Mar,0,0,2.48,1.31,0,0,65.4353562,34.5646438
R1114 MC003 k6,65.63,5.57,0,Mar,0,0,1.15,0.83,0,0,58.08080808,41.91919192
R1119 MC004 k3,65.51,6.28,0,Mar,0,0,0.7,0.44,0,0,61.40350877,38.59649123
R1129 MC005 k2,65.29,6.28,0,Mar,0,0,1.94,0.78,0,0,71.32352941,28.67647059
R1133 MC006 k6,65.17,5.93,0,Mar,0,0,1.08,0.81,0,0,57.14285714,42.85714286
R1139  MC010 k2,72.31,32.35,0,Mar,0,0,6.44,2.65,0,0,70.84708471,29.15291529
R1139 MC010 k1,72.31,32.35,0,Mar,0,0,2.62,1.28,0,0,67.17948718,32.82051282
R1146 MC011 k2,72.11,34.33,0,Mar,0,0,8.06,2.96,0,0,73.13974592,26.86025408
R1146 MC011 k4,72.11,34.33,0,Mar,0,0,9.31,3.12,0,0,74.89943685,25.10056315
R1165 MC012 k3,71.78,33.53,0,Mar,0,0,6.47,2.72,0,0,70.40261153,29.59738847
R1174 MC013 k4,71.62,32.22,0,Mar,0,0,2.5,1.21,0,0,67.38544474,32.61455526
R1180 MC014 k1,71.61,32.99,0,Mar,0,0,3.32,1.66,0,0,66.66666667,33.33333333
R1180 MC014 k2,71.61,32.99,0,Mar,0,0,4.3,2.34,0,0,64.75903614,35.24096386
R1186 MC015 k1,71.42,32.87,0,Mar,0,0,2.43,1.24,0,0,66.21253406,33.78746594
R1186 MC015 k6,71.42,32.87,0,Mar,0,0,2.47,1.09,0,0,69.38202247,30.61797753
R1200 MC016 k1,70.86,32.52,0,Mar,0,0,2.62,1.24,0,0,67.87564767,32.12435233
R1200 MC016 k2,70.86,32.52,0,Mar,0,0,1.58,0.55,0,0,74.17840376,25.82159624
R1205 MC017 k4,70.58,32.28,0,Mar,0,0,0.96,0.41,0,0,70.0729927,29.9270073
R1205 MC017 k6,70.58,32.28,0,Mar,0,0,1.11,0.47,0,0,70.25316456,29.74683544
